Observer ,Year,Month,Sunday,Site,Family,Genus,Species,Fork length
Jessica Tran,2021,April,2,Papeete market,Serranidae,Cephalopholis,argus ,30.92788
Jessica Tran,2021,April,3,Papeete market,Kyphosidae,Kyphosus,vaigiensis,30.93272
Jessica Tran,2021,April,3,Papeete market,Scaridae,Calotomus ,carolinus,30.94201
Jessica Tran,2021,April,1,Papeete market,Serranidae,Variola,louti,30.95183
Jessica Tran,2021,April,1,Papeete market,Scaridae,Scarus,rubroviolaceus,30.95707
Jessica Tran,2021,April,4,Papeete market,Scaridae,Calotomus ,carolinus,30.99473
Jessica Tran,2021,April,2,Papeete market,Scaridae,Calotomus ,carolinus,31.00808
Jessica Tran,2021,April,4,Papeete market,Serranidae,Cephalopholis,argus,31.02013
Jessica Tran,2021,April,4,Papeete market,Lutjanidae,pristipomoides,zonatus,31.0362
Jessica Tran,2021,April,3,Papeete market,Serranidae,Cephalopholis,argus,31.0751
Jessica Tran,2021,April,1,Papeete market,Scaridae,Chlorurus,spilurus,31.10245
Jessica Tran,2021,April,3,Papeete market,Carangidae,Caranx,papuensis,31.10786
Jessica Tran,2021,April,2,Papeete market,Mullidae ,Parupeneus ,cyclostomus,31.12763
Jessica Tran,2021,April,4,Papeete market,Acanthuridae,Naso,unicornis,31.13245
Jessica Tran,2021,April,1,Papeete market,Scaridae,Calotomus ,carolinus,31.13969
Jessica Tran,2021,April,1,Papeete market,Scaridae,Calotomus ,carolinus,31.14113
Jessica Tran,2021,April,2,Papeete market,Scaridae,Calotomus ,carolinus,31.14119
Jessica Tran,2021,April,2,Papeete market,Scaridae,Calotomus ,carolinus,31.14176
Jessica Tran,2021,April,2,Papeete market,Scaridae,Calotomus ,carolinus,31.14983
Jessica Tran,2021,April,2,Papeete market,Serranidae,Variola,louti,31.14986
Jessica Tran,2021,April,1,Papeete market,Scaridae,Calotomus ,carolinus,31.16741
Jessica Tran,2021,April,2,Papeete market,Lethrinidae,Monotaxis,grandoculis,31.1773
Jessica Tran,2021,April,2,Papeete market,Scaridae,Scarus,altipinnis,31.18439
Jessica Tran,2021,April,4,Papeete market,Lutjanidae,etelis,carbunculus,31.20036
Jessica Tran,2021,April,1,Papeete market,Serranidae,Cephalopholis,argus,31.22078
Jessica Tran,2021,April,3,Papeete market,Scaridae,Calotomus ,carolinus,31.22267
Jessica Tran,2021,April,1,Papeete market,Scaridae,Scarus,oviceps,31.28691
Jessica Tran,2021,April,3,Papeete market,Carangidae,Caranx,papuensis,31.32916
Jessica Tran,2021,April,1,Papeete market,Scaridae,Chlorurus,spilurus,31.367
Jessica Tran,2021,April,2,Papeete market,Scaridae,Scarus,altipinnis,31.49497
Jessica Tran,2021,April,2,Papeete market,Scaridae,Scarus,rubroviolaceus,31.51007
Jessica Tran,2021,April,3,Papeete market,Scaridae,Calotomus ,carolinus,31.51353
Jessica Tran,2021,April,2,Papeete market,Serranidae,Cephalopholis,argus ,31.51652
Jessica Tran,2021,April,4,Papeete market,Serranidae,Cephalopholis,argus,31.5583
Jessica Tran,2021,April,3,Papeete market,Scaridae,Calotomus ,carolinus,31.5653
Jessica Tran,2021,April,3,Papeete market,Kyphosidae,Kyphosus,vaigiensis,31.62821
Jessica Tran,2021,April,1,Papeete market,Serranidae,Cephalopholis,argus,31.632
Jessica Tran,2021,April,2,Papeete market,Scaridae,Calotomus ,carolinus,31.64057
Jessica Tran,2021,April,2,Papeete market,Scaridae,Calotomus ,carolinus,31.65177
Jessica Tran,2021,April,2,Papeete market,Lethrinidae,Monotaxis,grandoculis,31.65284
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,forsteni,31.65302
Jessica Tran,2021,April,4,Papeete market,Serranidae,Variola,louti,31.75676
Jessica Tran,2021,April,1,Papeete market,Carangidae,Caranx,papuensis,31.7775
Jessica Tran,2021,April,4,Papeete market,Scaridae,Chlorurus,spilurus,31.7929
Jessica Tran,2021,April,1,Papeete market,Scaridae,Chlorurus,frontalis,31.79984
Jessica Tran,2021,April,1,Papeete market,Acanthuridae,Naso,lituratus,31.80604
Jessica Tran,2021,April,3,Papeete market,Scaridae,Scarus,psittacus,31.81072
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,psittacus,31.81956
Jessica Tran,2021,April,2,Papeete market,Scaridae,Scarus,altipinnis,31.87081
Jessica Tran,2021,April,4,Papeete market,Mullidae ,Parupeneus ,cyclostomus,31.87751
Jessica Tran,2021,April,1,Papeete market,Scaridae,Calotomus ,carolinus,31.89672
Jessica Tran,2021,April,4,Papeete market,Lethrinidae,Lethrinus,olivaceus,31.91589
Jessica Tran,2021,April,1,Papeete market,Scaridae,Scarus,psittacus,31.92603
